BankID,Year,Currency,Revenue_M,NetIncome_M,TotalAssets_M,ROE_Pct,CET1_Pct,Employees
1,2021,USD,121640,48334,3743567,23.0,13.1,271025
1,2022,USD,128695,37676,3665743,18.0,12.5,293723
1,2023,USD,158104,49552,3875393,19.0,15.0,309926
1,2024,USD,177556,58471,4002814,21.0,15.3,316043
1,2025,USD,185600,57048,4400000,17.0,14.5,317230
2,2021,USD,89113,31978,3169495,11.0,10.6,213000
2,2022,USD,94951,27528,3051375,10.0,11.2,217000
2,2023,USD,98571,26515,3180151,8.8,11.8,213000
2,2024,USD,105648,27000,3298880,9.3,11.9,213000
2,2025,USD,113100,30500,3380000,10.2,11.7,215000
3,2021,USD,71884,21952,2291413,9.5,12.2,223400
3,2022,USD,75338,14845,2416676,6.0,13.0,240000
3,2023,USD,78462,9227,2411800,4.0,13.4,239000
3,2024,USD,80707,12700,2352700,6.1,13.6,229000
3,2025,USD,85200,14300,2480000,6.8,13.5,223000
4,2021,USD,78492,21548,1948068,10.5,11.0,238696
4,2022,USD,73785,13166,1881017,6.4,10.8,238472
4,2023,USD,82594,19142,1932469,10.0,11.4,226400
4,2024,USD,82300,19696,1929753,11.6,11.1,215637
4,2025,USD,83700,21300,1950000,12.3,11.3,210000
5,2021,USD,59339,21635,1463988,23.0,13.1,43900
5,2022,USD,47365,11261,1441829,10.2,14.0,49100
5,2023,USD,46254,8516,1641949,7.5,14.6,45300
5,2024,USD,53510,14281,1761661,12.7,15.0,46500
5,2025,USD,58280,17180,1850000,15.0,15.0,47500
6,2021,EUR,44330,9488,2633377,8.3,12.9,190000
6,2022,EUR,46184,10196,2666263,9.8,12.3,190000
6,2023,EUR,45494,11097,2591589,9.5,13.2,183000
6,2024,EUR,48825,11688,2593955,11.5,12.7,178000
6,2025,EUR,51223,12225,2700000,11.6,12.6,178000
7,2021,EUR,45970,8124,1610973,11.1,11.9,191589
7,2022,EUR,52211,9605,1734659,13.4,12.0,212764
7,2023,EUR,57411,11076,1797030,14.6,12.3,212935
7,2024,EUR,58380,12574,1838223,15.5,12.8,217864
7,2025,EUR,62400,14101,1900000,16.3,13.5,220000
8,2021,EUR,25383,2510,1323862,3.8,13.2,84964
8,2022,EUR,27224,5659,1336806,7.9,13.4,84955
8,2023,EUR,28880,4894,1305423,7.4,13.7,90130
8,2024,EUR,30100,2666,1352840,4.7,13.8,90261
8,2025,EUR,32100,6120,1400000,10.3,14.2,90000
9,2021,GBP,21940,5360,1384410,10.4,15.1,83500
9,2022,GBP,24935,3536,1542114,9.9,13.9,86600
9,2023,GBP,25372,5286,1554214,10.6,13.8,87400
9,2024,GBP,26793,5306,1516599,10.5,13.6,90000
9,2025,GBP,29140,6175,1600000,11.3,14.3,92000
10,2021,USD,36818,7457,1131407,13.9,14.9,71224
10,2022,USD,35728,7626,1104369,14.3,14.2,72142
10,2023,USD,43723,29027,1717604,13.0,14.4,119406
10,2024,USD,48565,5092,1689439,7.1,14.3,109946
10,2025,USD,50500,7767,1700000,10.8,14.4,108000
11,2021,EUR,25798,5641,1464735,10.0,13.7,117000
11,2022,EUR,27155,1825,1531168,2.9,12.9,117000
11,2023,EUR,25104,2493,1495177,3.8,13.1,119000
11,2024,EUR,26788,4204,1480000,6.8,13.3,86000
11,2025,EUR,27254,6000,1500000,10.2,13.5,82000
